artist,songs,max_pop,avg_pop,avg_duration,avg_tempo,avg_energy,avg_danceability,average_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,avg_mode,avg_key,avg_time_sig
JUNE,4,46,41.25,225904.50,99.47,0.70,0.64,-4.35,0.08,0.00,0.27,0.12,0.63,0.75,5.75,4.00
August,2,45,44.50,144052.50,122.95,0.58,0.89,-7.48,0.13,0.00,0.28,0.24,0.49,1.00,3.00,4.00
September,34,66,19.68,206992.97,128.94,0.84,0.68,-4.69,0.04,0.00,0.07,0.23,0.76,0.53,5.59,4.00
Wednesday,30,47,27.80,214783.93,121.25,0.58,0.32,-8.31,0.04,0.32,0.23,0.23,0.28,0.80,4.47,4.00
Thursday,80,50,20.00,245721.85,131.43,0.82,0.31,-5.62,0.07,0.25,0.03,0.24,0.28,0.40,5.04,3.90
July,7,33,21.86,184717.86,118.72,0.55,0.45,-9.30,0.03,0.71,0.73,0.12,0.33,0.71,5.86,3.71
!!!,44,43,21.80,291111.80,118.58,0.79,0.76,-6.83,0.07,0.28,0.06,0.16,0.64,0.57,5.57,4.00
$LOTHBOI,3,37,29.00,132017.33,112.65,0.70,0.54,-7.14,0.04,0.04,0.07,0.37,0.29,0.33,7.67,4.00
$NOT,20,71,57.90,154036.40,114.94,0.56,0.77,-8.54,0.26,0.02,0.36,0.16,0.47,0.40,5.05,4.00
$uicideboy$,312,79,53.58,152894.59,124.17,0.66,0.76,-6.60,0.14,0.03,0.14,0.23,0.35,0.62,5.29,3.96
&ME,36,50,24.78,448100.25,121.36,0.75,0.76,-9.61,0.06,0.72,0.00,0.10,0.34,0.56,6.08,3.97
(DOLCH),7,37,22.86,282904.29,109.25,0.58,0.32,-12.63,0.05,0.60,0.17,0.14,0.11,0.57,6.86,3.71
(Hed) P.E.,206,49,16.04,218551.28,124.68,0.82,0.56,-6.70,0.14,0.04,0.03,0.29,0.54,0.66,5.35,3.97
*NSYNC,34,67,37.41,228589.79,122.06,0.79,0.69,-5.55,0.06,0.00,0.12,0.20,0.72,0.59,6.88,4.00
...And Oceans,38,34,15.05,270489.16,119.40,0.83,0.24,-8.40,0.07,0.53,0.00,0.20,0.19,0.66,5.50,3.87
...And You Will Know Us by the Trail of Dead,38,52,17.24,241870.71,125.15,0.75,0.31,-6.39,0.06,0.18,0.08,0.28,0.27,0.71,5.61,3.76
.anxious.,8,47,37.50,123745.13,103.92,0.12,0.61,-18.96,0.08,0.77,0.84,0.14,0.27,0.63,2.63,3.88
.Sinh,13,46,36.69,109110.54,116.38,0.26,0.66,-14.71,0.07,0.70,0.61,0.10,0.41,0.62,4.77,3.92
.sPout.,3,13,10.00,220960.00,106.36,0.85,0.65,-4.85,0.10,0.00,0.01,0.17,0.58,1.00,4.00,4.00
:Of The Wand And The Moon:,50,29,13.26,265687.20,116.39,0.56,0.33,-9.39,0.04,0.60,0.29,0.19,0.26,0.44,5.32,3.88
:Wumpscut:,50,27,10.16,289205.96,134.64,0.87,0.52,-5.90,0.05,0.34,0.06,0.18,0.35,0.68,4.62,3.90
? & The Mysterians,5,40,16.40,167749.00,119.36,0.74,0.59,-6.73,0.03,0.09,0.29,0.18,0.82,0.60,2.20,4.00
[.que],3,23,19.00,219102.33,138.34,0.51,0.57,-12.33,0.04,0.93,0.80,0.10,0.26,1.00,4.00,3.67
[:SITD:],26,33,13.69,332929.15,119.85,0.94,0.53,-5.64,0.05,0.26,0.02,0.21,0.37,0.65,5.04,4.00
[bsd.u],10,61,42.30,84411.30,96.00,0.35,0.73,-10.60,0.21,0.67,0.51,0.16,0.54,0.50,3.20,3.90
[dunkelbunt],5,44,36.20,286088.00,115.23,0.63,0.91,-7.87,0.16,0.57,0.10,0.44,0.83,0.20,8.00,4.00
[re:jazz],3,36,27.67,299800.00,106.63,0.58,0.56,-11.42,0.03,0.24,0.38,0.10,0.69,0.33,2.67,4.00
¡Cubanismo!,15,30,19.00,357220.40,116.27,0.78,0.59,-6.47,0.04,0.39,0.62,0.17,0.86,0.53,5.60,4.07
¡MAYDAY!,7,41,37.14,232536.71,132.14,0.68,0.77,-6.19,0.16,0.00,0.06,0.18,0.55,0.71,3.43,4.00
¿Téo?,28,64,49.36,174943.64,121.18,0.57,0.66,-9.50,0.11,0.11,0.35,0.15,0.47,0.39,6.21,3.89
「Story of Hope」,7,30,22.71,234931.86,139.16,0.94,0.32,-1.27,0.10,0.00,0.00,0.30,0.28,0.57,4.57,4.00
€URO TRA$H,12,51,37.00,222100.50,128.09,0.77,0.79,-6.30,0.06,0.36,0.05,0.08,0.53,0.67,4.92,4.00
+44,10,44,36.70,237413.40,144.74,0.81,0.45,-5.14,0.05,0.00,0.01,0.19,0.37,0.70,4.50,3.60
</body>,6,35,24.33,104217.50,113.39,0.56,0.65,-12.55,0.04,0.85,0.11,0.17,0.61,0.33,7.67,4.17
µ-Ziq,15,41,27.67,248856.00,137.69,0.67,0.47,-9.21,0.08,0.83,0.27,0.14,0.31,0.47,6.93,4.00
✝✝✝ (Crosses),25,54,39.20,234559.12,123.70,0.70,0.48,-6.52,0.04,0.33,0.05,0.15,0.24,0.44,6.40,3.92
✦ pink cig ✦,9,58,38.56,174774.22,111.47,0.45,0.54,-10.41,0.06,0.00,0.31,0.13,0.25,0.67,6.11,3.89
047,8,28,15.38,213223.38,130.35,0.80,0.59,-6.04,0.05,0.67,0.06,0.20,0.62,0.75,3.50,4.00
1.Cuz,7,58,50.29,163250.14,118.80,0.58,0.80,-7.78,0.18,0.00,0.39,0.24,0.67,0.14,4.14,4.14
10 000 Russos,4,20,10.75,766372.25,142.92,0.73,0.33,-9.03,0.05,0.87,0.20,0.39,0.18,1.00,0.50,4.00
10 Ft. Ganja Plant,112,57,19.93,237618.68,117.21,0.59,0.74,-8.06,0.08,0.43,0.12,0.13,0.78,0.60,5.62,3.99
10 Years,49,63,34.22,225476.65,138.85,0.82,0.41,-4.94,0.06,0.03,0.02,0.19,0.38,0.55,4.96,3.71
100 Demons,16,33,18.31,162704.31,111.49,0.92,0.27,-5.59,0.10,0.01,0.00,0.29,0.24,0.69,1.81,3.81
100 Kilo Herz,4,19,16.50,194410.00,106.85,0.67,0.59,-10.76,0.04,0.00,0.01,0.44,0.58,0.50,5.75,4.00
1000 Homo DJs,9,34,15.44,357009.00,112.91,0.94,0.46,-7.80,0.05,0.31,0.01,0.31,0.26,0.67,8.78,4.00
1000mods,23,44,25.61,337823.30,129.14,0.78,0.31,-7.60,0.05,0.33,0.01,0.19,0.25,0.61,5.04,3.96
108,7,27,17.71,114388.43,119.50,0.81,0.37,-8.72,0.08,0.63,0.00,0.22,0.42,0.57,6.14,4.00
10cc,19,71,32.32,239428.79,130.31,0.63,0.51,-9.46,0.07,0.01,0.29,0.17,0.59,0.47,5.53,3.84
10cm,5,61,51.00,199280.40,99.23,0.44,0.67,-6.57,0.05,0.00,0.41,0.13,0.51,0.60,5.40,4.00
10-FEET,4,49,33.75,301663.25,119.69,0.88,0.44,-4.03,0.08,0.03,0.00,0.32,0.33,1.00,0.75,4.00
10Tik,23,48,29.70,191989.52,113.99,0.60,0.63,-6.67,0.26,0.00,0.46,0.15,0.46,0.39,6.26,4.13
11 Acorn Lane,15,38,29.33,187555.33,120.47,0.81,0.81,-5.51,0.08,0.22,0.19,0.17,0.81,0.47,4.27,4.00
11:11,4,48,42.50,211418.25,97.94,0.48,0.57,-8.87,0.07,0.01,0.14,0.10,0.24,0.25,6.00,4.00
112,30,63,32.53,250102.60,113.76,0.59,0.71,-6.51,0.12,0.03,0.11,0.12,0.56,0.47,4.87,4.00
116,7,40,33.29,249433.71,97.97,0.79,0.68,-6.40,0.17,0.00,0.14,0.28,0.47,0.71,3.29,4.00
11th Hour,15,30,18.20,226268.33,127.17,0.56,0.64,-7.51,0.06,0.19,0.38,0.21,0.44,0.93,4.60,3.67
12 Stones,66,60,26.47,215584.48,146.93,0.86,0.42,-4.28,0.07,0.00,0.04,0.17,0.44,0.62,4.68,3.80
125 Rue Montmartre,3,35,33.33,194324.67,151.25,0.57,0.45,-12.05,0.05,0.73,0.03,0.16,0.29,0.67,1.33,4.00
12th Planet,62,46,20.48,214236.74,128.97,0.92,0.55,-2.97,0.20,0.20,0.01,0.30,0.27,0.55,4.68,3.84
13,16,38,16.63,187024.50,138.78,0.76,0.66,-4.45,0.18,0.51,0.05,0.21,0.24,0.75,5.56,4.00
1349,60,32,11.87,298807.73,125.18,0.90,0.20,-7.13,0.12,0.70,0.00,0.24,0.09,0.55,6.20,3.95
13th Chime,11,25,11.82,230112.36,137.41,0.74,0.44,-10.49,0.05,0.27,0.22,0.21,0.61,0.82,6.82,4.00
13th Floor Elevators,47,54,17.21,219002.64,125.94,0.72,0.48,-7.14,0.05,0.12,0.24,0.17,0.62,0.68,5.66,3.91
156/Silence,10,38,26.30,205770.10,126.56,0.92,0.45,-4.60,0.09,0.66,0.00,0.31,0.21,0.60,6.20,4.00
16 Horsepower,25,29,11.56,258306.68,116.70,0.61,0.45,-8.05,0.04,0.08,0.22,0.53,0.33,0.48,5.92,3.84
16B,4,18,10.75,470703.25,123.25,0.85,0.72,-8.99,0.06,0.86,0.06,0.37,0.49,0.50,4.75,4.00
16BL,30,40,20.30,403942.97,121.47,0.64,0.71,-10.17,0.04,0.79,0.11,0.16,0.43,0.40,5.27,4.00
16Volt,23,12,6.78,225922.96,140.19,0.85,0.57,-5.38,0.07,0.26,0.02,0.24,0.47,0.83,5.22,3.96
1782,19,38,18.63,338688.32,118.34,0.49,0.36,-12.55,0.04,0.80,0.25,0.14,0.14,1.00,6.11,3.84
1788-L,18,35,23.94,220820.83,121.03,0.79,0.47,-4.11,0.15,0.18,0.04,0.27,0.17,0.83,5.33,4.00
18 Carat Affair,84,41,15.79,102249.13,115.44,0.57,0.56,-13.02,0.07,0.77,0.36,0.20,0.57,0.64,5.74,3.90
1910 Fruitgum Company,9,25,12.22,153995.56,130.40,0.70,0.69,-8.00,0.04,0.04,0.31,0.18,0.82,0.89,4.33,4.00
1914,19,35,23.11,408011.11,111.27,0.91,0.34,-5.31,0.10,0.19,0.00,0.22,0.08,0.68,4.95,3.89
1919,9,17,8.67,234948.56,133.26,0.83,0.40,-10.02,0.11,0.33,0.02,0.13,0.33,0.89,4.22,4.00
1974 A.D,8,37,28.50,277564.38,147.36,0.40,0.59,-11.16,0.03,0.00,0.43,0.18,0.50,0.88,5.50,4.00
1991,40,60,27.38,231273.25,164.59,0.88,0.48,-4.30,0.08,0.61,0.05,0.23,0.35,0.48,5.08,3.75
1nonly,38,77,54.66,145130.53,121.14,0.64,0.73,-8.45,0.17,0.01,0.27,0.19,0.48,0.63,4.66,4.05
2 Best Enemies,4,26,16.50,388011.25,149.00,0.83,0.62,-5.44,0.10,0.76,0.00,0.32,0.28,0.75,6.50,4.00
2 Blyga Läppar,11,45,34.18,185314.73,121.09,0.77,0.62,-5.65,0.04,0.00,0.14,0.29,0.70,0.73,5.00,4.00
2 Brothers On The 4th Floor,20,65,27.00,262506.30,137.24,0.87,0.64,-7.10,0.05,0.23,0.03,0.23,0.61,0.35,3.85,4.00
2 Chainz,40,66,43.25,226260.00,131.51,0.65,0.78,-5.70,0.21,0.01,0.13,0.21,0.46,0.65,5.65,4.00
2 Eivissa,6,38,22.83,240057.83,131.99,0.90,0.69,-5.09,0.05,0.05,0.05,0.17,0.78,0.17,4.33,4.00
2 LIVE CREW,3,16,12.33,241342.33,128.22,0.61,0.86,-12.25,0.20,0.31,0.01,0.41,0.67,0.33,8.00,4.00
2 Mello,48,52,28.27,180764.23,123.58,0.71,0.68,-7.47,0.09,0.48,0.23,0.17,0.68,0.46,4.90,4.02
2 minutos,16,53,39.25,170092.13,119.39,0.96,0.42,-3.82,0.08,0.01,0.01,0.36,0.58,0.81,4.50,3.94
2 Pistols,4,52,39.00,219679.75,118.45,0.70,0.63,-5.67,0.13,0.00,0.02,0.39,0.35,0.50,8.75,4.25
2 Sidez,3,12,9.67,378592.67,149.33,0.96,0.53,-6.71,0.09,0.70,0.02,0.23,0.10,0.33,8.00,4.00
2 Unlimited,11,50,27.00,288923.36,133.18,0.95,0.70,-6.95,0.10,0.21,0.02,0.14,0.64,0.55,5.27,4.00
20 Watt Tombstone,12,29,18.92,259373.25,117.27,0.86,0.39,-6.91,0.10,0.11,0.01,0.22,0.29,0.75,4.92,3.92
200 Stab Wounds,15,41,30.73,182502.93,99.02,0.95,0.26,-4.75,0.11,0.67,0.00,0.33,0.16,0.87,5.40,3.93
2002,161,45,15.73,296116.76,98.43,0.26,0.21,-15.42,0.04,0.80,0.85,0.12,0.10,0.84,4.91,3.64
20th Century Steel Band,4,27,15.00,244006.75,111.47,0.59,0.68,-12.94,0.05,0.23,0.05,0.16,0.68,0.25,3.75,4.00
21 Hertz,7,22,12.00,270168.14,128.98,0.43,0.64,-11.98,0.05,0.31,0.03,0.20,0.32,0.57,6.00,4.00
21 Savage,64,84,59.55,204878.38,135.18,0.54,0.81,-7.76,0.28,0.02,0.11,0.18,0.35,0.50,4.80,3.98
21:03,28,35,14.00,230254.79,107.53,0.71,0.57,-5.25,0.11,0.00,0.25,0.27,0.56,0.57,5.11,4.00
21street,12,12,8.58,515337.83,127.42,0.70,0.76,-9.62,0.07,0.84,0.08,0.15,0.35,0.42,7.58,4.00
220 KID,5,68,55.40,173324.60,123.55,0.79,0.62,-5.70,0.05,0.00,0.12,0.14,0.62,0.60,7.40,4.00
22-20s,12,32,14.42,226860.67,121.02,0.80,0.44,-5.55,0.05,0.53,0.09,0.25,0.37,0.58,5.33,4.00
23,22,70,55.23,141159.23,106.91,0.53,0.71,-9.56,0.22,0.02,0.30,0.21,0.55,0.09,4.59,4.00
24 Carat Black,3,32,24.67,361906.67,114.83,0.45,0.49,-13.00,0.09,0.29,0.57,0.10,0.49,0.00,9.00,4.00
24hrs,4,39,34.50,222470.25,130.90,0.70,0.77,-4.61,0.09,0.03,0.11,0.22,0.53,0.50,7.50,4.00
24kGoldn,10,83,64.80,160392.60,132.24,0.69,0.70,-4.49,0.10,0.00,0.17,0.19,0.62,0.20,6.00,4.00
24SJU,5,41,26.40,142647.40,114.64,0.55,0.85,-10.11,0.19,0.00,0.16,0.09,0.66,0.20,6.80,4.00
2562,14,16,9.29,280565.71,136.56,0.70,0.69,-8.90,0.13,0.69,0.01,0.21,0.45,0.29,6.64,4.00
27CLUB,10,43,23.80,161986.40,117.93,0.57,0.53,-8.03,0.06,0.00,0.15,0.10,0.32,0.60,5.20,4.10
2Baba,67,44,21.72,257507.30,112.72,0.73,0.62,-5.53,0.20,0.00,0.28,0.17,0.72,0.52,6.39,4.00
2CELLOS,3,52,51.00,241648.67,132.36,0.48,0.42,-8.95,0.06,0.61,0.49,0.33,0.42,1.00,2.00,4.00
2econd Class Citizen,10,29,12.30,259097.70,132.76,0.63,0.51,-10.76,0.04,0.69,0.19,0.23,0.32,0.40,6.20,3.90
2gaudy,5,51,43.60,165862.40,129.12,0.53,0.68,-9.85,0.16,0.00,0.19,0.10,0.44,0.20,6.80,3.80
2nd Exit,6,53,46.00,188903.00,110.01,0.58,0.78,-8.78,0.20,0.18,0.40,0.14,0.58,0.33,5.33,4.00
2nd Grade,48,33,15.06,119180.42,126.98,0.67,0.47,-8.12,0.04,0.20,0.21,0.21,0.63,0.92,5.98,3.94
2nd South Carolina String Band,10,35,20.60,202760.00,109.89,0.62,0.67,-4.34,0.04,0.00,0.73,0.20,0.80,0.90,4.70,4.00
2NE1,19,64,46.79,222339.58,130.79,0.79,0.72,-3.09,0.06,0.01,0.15,0.21,0.61,0.53,4.74,4.00
2Pac,227,81,35.70,255970.99,107.04,0.75,0.77,-5.51,0.23,0.00,0.12,0.21,0.65,0.52,5.87,4.01
3 Doors Down,80,80,40.74,228930.96,133.47,0.79,0.50,-5.41,0.04,0.01,0.06,0.21,0.43,0.53,5.64,3.94
3 Inches Of Blood,15,45,25.73,241830.27,115.08,0.96,0.37,-3.56,0.07,0.06,0.00,0.19,0.44,0.20,7.53,4.00
3 Na Bossa,16,16,11.44,187912.44,97.64,0.58,0.54,-11.18,0.03,0.92,0.56,0.13,0.44,0.69,2.75,4.00
3 Pill Morning,10,46,28.30,192756.50,141.21,0.91,0.45,-4.11,0.07,0.00,0.00,0.24,0.46,0.40,6.90,4.00
3 Steps Ahead,16,43,19.63,302159.00,138.43,0.86,0.51,-6.00,0.08,0.42,0.02,0.30,0.26,0.69,6.44,4.00
30,9,48,36.11,185314.22,124.13,0.68,0.65,-6.09,0.22,0.00,0.36,0.18,0.50,0.67,6.33,4.00
31 Minutos,12,46,40.50,139917.83,122.65,0.85,0.65,-4.81,0.10,0.10,0.32,0.22,0.69,0.67,5.08,4.00
311,153,49,23.20,209137.53,137.74,0.81,0.58,-7.45,0.07,0.03,0.04,0.19,0.58,0.76,5.25,4.00
3-11 Porter,3,44,40.00,272537.67,104.01,0.54,0.66,-9.95,0.05,0.23,0.03,0.26,0.35,1.00,5.67,4.00
32 Leaves,7,53,34.43,211718.00,118.05,0.80,0.34,-6.21,0.05,0.01,0.00,0.18,0.40,0.57,5.14,3.86
347aidan,21,76,48.71,159664.14,122.35,0.47,0.77,-9.41,0.16,0.03,0.45,0.23,0.48,0.52,5.86,4.00
35007,16,32,15.06,449909.00,135.00,0.64,0.29,-8.55,0.05,0.66,0.16,0.22,0.21,0.69,6.44,3.94
3582,6,38,26.50,187271.17,107.97,0.60,0.67,-10.09,0.19,0.22,0.12,0.15,0.53,0.33,4.83,4.00
36,40,46,20.48,303419.10,99.53,0.26,0.18,-17.03,0.05,0.89,0.86,0.10,0.09,0.38,4.45,3.65
36 Crazyfists,85,56,17.93,230856.25,131.17,0.92,0.44,-4.19,0.12,0.04,0.01,0.23,0.37,0.68,4.93,3.94
38 Special,24,35,18.25,259679.92,124.53,0.82,0.46,-5.83,0.05,0.02,0.06,0.39,0.65,0.88,5.67,4.00
38th Parallel,9,27,12.78,204903.78,123.00,0.82,0.55,-4.87,0.05,0.00,0.02,0.20,0.50,0.78,5.67,4.00
3d Blast,4,34,30.25,211412.00,108.48,0.79,0.57,-9.05,0.19,0.18,0.22,0.53,0.63,0.25,6.75,4.00
3FORCE,46,42,17.13,272225.74,126.74,0.87,0.48,-4.58,0.04,0.67,0.02,0.17,0.14,0.41,4.78,4.00
3LAU,63,59,28.76,208534.84,124.90,0.83,0.57,-5.05,0.07,0.10,0.04,0.22,0.25,0.41,5.38,3.97
3LW,19,54,24.47,252413.37,125.32,0.62,0.73,-5.92,0.11,0.00,0.11,0.15,0.61,0.21,7.26,3.89
3nd,3,36,32.33,200635.67,135.95,0.63,0.37,-9.25,0.04,0.84,0.05,0.19,0.39,0.67,6.00,3.67
3OH!3,70,69,28.79,198928.60,128.09,0.75,0.63,-4.95,0.16,0.01,0.05,0.20,0.54,0.44,5.51,3.97
3R2,3,32,29.67,238232.33,146.65,0.98,0.51,-3.67,0.06,0.44,0.00,0.30,0.67,0.67,7.00,4.00
3rd Force,15,43,21.67,300341.40,116.16,0.71,0.65,-9.37,0.04,0.68,0.37,0.11,0.65,0.27,7.67,4.00
3rd Strike,12,41,24.17,210358.92,110.43,0.84,0.49,-5.97,0.10,0.08,0.01,0.28,0.47,0.83,3.50,4.00
3TEETH,58,45,19.67,224078.40,127.32,0.89,0.48,-5.79,0.08,0.54,0.03,0.27,0.24,0.76,4.53,3.98
3X Krazy,5,11,8.60,284146.80,92.13,0.66,0.78,-7.30,0.31,0.00,0.05,0.21,0.64,0.20,7.40,3.40
4 Tune Fairytales,3,42,27.67,249491.00,178.00,0.95,0.50,-5.19,0.05,0.59,0.08,0.19,0.50,1.00,3.33,4.00
40 Below Summer,45,40,13.51,247216.20,133.62,0.91,0.43,-4.87,0.12,0.04,0.00,0.20,0.34,0.51,6.69,3.78
40 Fingers,43,40,25.00,216359.86,117.80,0.54,0.59,-8.87,0.04,0.87,0.65,0.13,0.48,0.53,5.26,3.86
40 Thieves,15,52,25.47,349199.20,114.31,0.64,0.78,-9.10,0.08,0.63,0.05,0.16,0.67,0.40,7.13,3.93
40 Winks,42,39,14.33,188523.62,104.13,0.54,0.61,-13.29,0.06,0.72,0.30,0.18,0.44,0.48,6.43,4.00
408,8,48,35.25,171583.75,138.87,0.89,0.51,-3.22,0.06,0.01,0.03,0.19,0.41,0.88,4.63,3.88
42 Dugg,21,69,54.19,154243.24,118.07,0.61,0.77,-7.20,0.26,0.00,0.04,0.16,0.46,0.81,5.52,4.00
44.caliberloveletter,9,29,18.33,99367.22,101.94,0.78,0.26,-11.92,0.11,0.76,0.00,0.35,0.16,0.67,5.78,3.56
44MAGNUM,6,12,7.33,255801.33,104.08,0.96,0.37,-3.47,0.11,0.31,0.00,0.24,0.39,0.83,4.67,4.00
44phantom,20,69,43.05,171307.55,127.09,0.66,0.62,-5.88,0.07,0.00,0.17,0.15,0.44,0.60,6.40,4.00
45 Grave,13,12,6.92,207234.15,141.60,0.84,0.49,-6.81,0.09,0.15,0.04,0.24,0.56,0.38,6.15,3.92
450,23,41,29.22,180548.52,116.47,0.59,0.66,-6.66,0.21,0.00,0.27,0.15,0.44,0.74,4.52,4.17
48th St. Collective,6,47,42.83,197524.33,105.95,0.28,0.68,-13.41,0.04,0.01,0.64,0.14,0.29,0.83,2.50,4.00
49th & Main,7,60,52.57,227253.43,121.22,0.57,0.66,-8.98,0.11,0.08,0.23,0.25,0.37,0.57,7.43,4.00
4arm,11,11,7.73,330206.64,136.00,0.98,0.45,-3.09,0.10,0.19,0.00,0.18,0.23,0.91,3.00,3.73
4B,12,47,37.83,171142.75,143.10,0.84,0.66,-4.07,0.17,0.25,0.04,0.24,0.32,0.67,5.08,4.00
4ever Falling,3,47,40.67,207587.00,113.65,0.38,0.72,-11.25,0.04,0.00,0.75,0.10,0.38,0.00,6.00,4.00
4hero,53,54,12.66,305074.91,125.00,0.70,0.58,-9.31,0.08,0.31,0.15,0.19,0.53,0.60,5.19,3.96
4lienetic,9,32,25.33,226418.78,107.61,0.24,0.37,-18.83,0.05,0.89,0.66,0.16,0.05,0.44,4.89,3.22
4x4,12,33,16.58,280975.92,118.15,0.79,0.78,-4.47,0.13,0.00,0.23,0.15,0.81,0.92,2.50,4.00
5 Reasons,11,30,22.36,299460.09,108.73,0.65,0.72,-8.63,0.05,0.24,0.07,0.21,0.38,0.27,5.64,4.00
5 Seconds of Summer,98,81,52.41,195710.27,138.77,0.77,0.56,-4.85,0.08,0.00,0.08,0.19,0.51,0.77,4.81,3.96
50 Cent,115,83,45.35,216949.96,109.13,0.75,0.66,-4.64,0.29,0.00,0.15,0.18,0.58,0.46,5.68,4.05
"50 Cent, DJ Whoo Kid",18,54,37.22,147102.22,106.92,0.73,0.61,-7.33,0.36,0.00,0.19,0.36,0.63,0.56,5.61,4.00
501,20,27,12.10,250257.65,137.32,0.89,0.55,-3.91,0.09,0.18,0.02,0.28,0.35,0.25,5.65,4.00
50landing,7,46,37.29,221096.86,96.97,0.43,0.57,-10.46,0.15,0.00,0.56,0.28,0.39,0.57,2.57,4.00
53 Thieves,8,55,46.13,192099.75,110.11,0.48,0.72,-9.85,0.22,0.13,0.46,0.18,0.30,0.13,6.25,4.00
6 Dogs,43,57,34.51,165456.49,136.86,0.46,0.68,-9.90,0.12,0.09,0.41,0.17,0.37,0.65,5.88,3.98
6 Voltios,10,38,30.90,202566.40,127.72,0.91,0.41,-5.00,0.10,0.00,0.00,0.19,0.61,0.90,6.30,4.00
6091,11,45,32.64,179852.36,131.36,0.50,0.64,-12.15,0.08,0.40,0.59,0.23,0.36,0.91,6.27,3.45
666,21,47,22.95,262889.67,134.84,0.93,0.73,-5.52,0.06,0.40,0.06,0.16,0.62,0.48,5.95,4.00
'68,6,33,28.50,190729.17,132.09,0.81,0.45,-7.69,0.09,0.04,0.05,0.20,0.35,0.83,6.00,4.17
6Blocc,3,9,7.67,310927.00,141.02,0.62,0.74,-7.99,0.09,0.27,0.02,0.17,0.44,0.67,6.00,4.00
6cyclemind,3,59,58.00,276031.00,111.51,0.60,0.64,-7.52,0.03,0.00,0.33,0.13,0.58,1.00,1.67,4.00
6EJOU,5,37,31.80,336134.40,158.60,0.96,0.57,-4.72,0.09,0.85,0.01,0.30,0.27,0.40,4.40,4.00
6host,9,44,31.44,191733.11,107.34,0.67,0.44,-4.54,0.05,0.00,0.29,0.19,0.14,0.67,6.00,3.78
6ix Toys,4,27,22.50,268893.25,123.83,0.87,0.78,-5.37,0.09,0.50,0.08,0.09,0.87,0.75,0.50,4.00
6ix9ine,42,78,52.38,150433.90,121.58,0.72,0.74,-5.54,0.20,0.00,0.10,0.19,0.51,0.64,4.86,3.98
6LACK,32,72,55.66,216831.38,116.55,0.51,0.64,-8.33,0.17,0.01,0.31,0.16,0.30,0.38,5.34,3.97
6o,11,46,32.27,152040.18,108.51,0.69,0.57,-5.60,0.09,0.09,0.14,0.17,0.23,0.45,5.09,4.00
6obby,3,36,31.67,133856.00,136.67,0.66,0.58,-6.67,0.06,0.00,0.02,0.16,0.12,0.00,3.67,4.00
6t6,10,43,37.40,146304.20,128.28,0.59,0.76,-10.18,0.51,0.00,0.46,0.19,0.63,0.50,6.10,4.00
6th Borough Project,11,34,15.18,391295.18,107.55,0.60,0.78,-9.87,0.07,0.66,0.03,0.20,0.36,0.45,4.36,4.00
6th Street Jazz,10,54,46.20,228103.60,96.66,0.15,0.43,-17.73,0.03,0.90,0.94,0.15,0.13,0.50,5.00,3.90
7 Angels 7 Plagues,7,19,14.86,270870.43,118.91,0.96,0.30,-6.94,0.16,0.12,0.00,0.37,0.17,0.71,4.29,3.71
7 Days Of Funk,8,26,20.63,255138.38,99.08,0.71,0.73,-5.28,0.18,0.00,0.04,0.11,0.54,0.38,7.38,4.00
7 H. Target,7,17,12.43,302856.57,115.51,0.98,0.28,-4.89,0.20,0.70,0.00,0.30,0.18,0.29,7.00,3.86
7 Minutes Dead,4,31,24.25,347257.75,116.99,0.84,0.49,-5.54,0.06,0.29,0.06,0.21,0.18,0.00,7.50,4.00
7 Minutoz,15,47,43.40,228696.07,112.10,0.70,0.63,-7.17,0.11,0.00,0.40,0.19,0.39,0.27,5.20,3.93
7 Seconds,10,31,22.20,155637.40,110.69,0.95,0.42,-5.00,0.10,0.16,0.02,0.31,0.46,0.70,5.20,4.00
7 Skies,6,35,17.33,293824.33,133.52,0.88,0.53,-7.32,0.04,0.87,0.00,0.29,0.48,0.17,7.33,4.00
7 Sons of Soul,13,26,12.08,254090.31,109.86,0.67,0.57,-5.08,0.10,0.00,0.38,0.22,0.61,0.77,3.85,3.77
700 Bliss,7,23,14.00,169649.29,122.37,0.51,0.66,-14.56,0.14,0.29,0.05,0.23,0.37,0.43,6.14,4.00
702,8,48,24.13,268476.63,104.65,0.66,0.68,-5.56,0.11,0.00,0.25,0.16,0.52,0.75,6.25,4.13
7038634357,18,31,17.89,231098.17,103.72,0.44,0.43,-16.26,0.10,0.70,0.50,0.15,0.19,0.44,2.44,3.89
753,6,34,31.17,358473.83,149.84,0.98,0.55,-6.35,0.11,0.84,0.00,0.33,0.22,0.67,2.00,3.83
7777 の天使,4,17,15.00,173210.50,130.53,0.69,0.38,-7.43,0.07,0.59,0.05,0.19,0.13,0.50,6.50,3.25
78 Saab,5,21,12.80,235407.80,128.41,0.60,0.39,-6.35,0.03,0.05,0.16,0.14,0.42,0.60,7.60,4.00
7and5,70,46,11.36,255582.96,110.06,0.48,0.53,-11.40,0.03,0.79,0.44,0.13,0.24,0.81,5.21,3.97
7apes,4,34,30.75,159553.75,140.02,0.46,0.79,-9.21,0.13,0.50,0.10,0.13,0.55,0.00,6.75,4.00
